"Time [ms]","InducedVoltage(Coil1) [V]","InducedVoltage(Coil2) [V]","InducedVoltage(Coil1)_1_1 [V]"
3.02000000000001,,,114.088845562954
3.03000000000001,,,114.060408024463
3.04000000000001,,,113.75850819133
3.05000000000001,,,113.557941429892
3.06000000000001,,,113.348278134778
3.07000000000001,,,113.254565230969
3.08000000000001,,,113.17948914703
3.09000000000001,,,113.057056342519
3.1,121.91937744657,122.66883400835,112.954521617131
3.11000000000001,,,113.139138377366
3.12000000000001,,,112.921181947445
3.13000000000001,,,112.845428890923
3.14000000000001,,,112.845924272087
3.15000000000001,,,112.892604599601
3.16000000000001,,,112.835019890916
3.17000000000001,,,112.790672551876
3.18000000000001,,,112.874623390269
3.19000000000001,,,112.636574630176
3.2,119.23397337585,119.803601666286,112.500636060436
3.21000000000001,,,112.734449475243
3.22000000000001,,,112.578565976734
3.23000000000001,,,112.458689246575
3.24000000000001,,,112.547178050592
3.25000000000001,,,112.403960056917
3.26000000000001,,,112.254440184644
3.27000000000001,,,112.153086428523
3.28000000000001,,,111.953393356706
3.29000000000001,,,111.929598217502
3.3,115.094091461903,115.345950177303,111.387056933881
3.31000000000001,,,112.046068538973
3.32000000000001,,,111.381835614998
3.33000000000001,,,111.364429950239
3.34000000000001,,,111.097640986141
3.35000000000001,,,110.988546418222
3.36000000000001,,,110.713201877899
3.37000000000001,,,110.468421473281
3.38000000000001,,,110.418056149697
3.39000000000001,,,109.992499593553
3.4,107.043045862472,106.769110509887,109.759498293898
3.41000000000001,,,109.667490026227
3.42000000000001,,,109.360550104914
3.43000000000001,,,109.133213323203
3.44000000000001,,,108.937389218294
3.45000000000001,,,108.663110203039
3.46000000000001,,,108.428095148127
3.47000000000001,,,108.212568572735
3.48000000000001,,,107.914329752362
3.49000000000001,,,107.684084555659
3.5,97.5716223088881,96.8804835610728,107.193284023632
3.51000000000001,,,107.37059418549
3.52000000000001,,,106.786134138031
3.53000000000001,,,106.573883981003
3.54000000000001,,,106.321375717971
3.55000000000001,,,106.054648437625
3.56000000000001,,,105.728794854509
3.57000000000001,,,105.427316894363
3.58000000000001,,,105.158644220404
3.59000000000001,,,104.731952765724
3.6,94.1610921430293,93.5645333605213,104.370769733824
3.61000000000001,,,104.158033082246
3.62000000000001,,,103.729186352247
3.63000000000001,,,103.467858864936
3.64000000000001,,,103.113027702345
3.65000000000001,,,102.788268990372
3.66000000000001,,,102.373455342841
3.67000000000001,,,102.081017200328
3.68000000000001,,,101.684885847663
3.69000000000001,,,101.300322491659
3.7,98.227034699855,98.0813387544517,100.785808842313
3.71000000000001,,,100.676836001606
3.72000000000001,,,100.116824339258
3.73000000000001,,,99.7210348894325
3.74000000000001,,,99.3198040442397
3.75000000000001,,,98.9173881589697
3.76000000000001,,,98.5135561144598
3.77000000000001,,,98.0710953763006
3.78000000000001,,,97.7501273421052
3.79000000000001,,,97.1541049342214
3.8,103.132633849248,103.42378894928,96.1787849470871
3.81000000000001,,,96.7402403028114
3.82000000000001,,,95.6826024700483
3.83000000000001,,,95.1829997650419
3.84000000000001,,,94.6327387078169
3.85000000000001,,,94.149120908282
3.86000000000001,,,93.379743593813
3.87000000000001,,,92.8086832049088
3.88000000000001,,,92.1459264060229
3.89000000000001,,,91.5082533156306
3.9,102.436223811743,102.900186364923,89.8627502583402
3.91000000000001,,,90.9901038622149
3.92000000000001,,,89.4200572889506
3.93000000000001,,,88.5485782296783
3.94000000000001,,,87.8827346179925
3.95000000000001,,,86.9140135158965
3.96000000000001,,,86.2127960366312
3.97000000000001,,,85.0229735146292
3.98000000000001,,,84.3104107275151
3.99000000000001,,,83.2112767093807
4,95.5992318453587,96.0634795963729,81.0457142094911
4.01000000000001,,,82.6083176162207
4.02000000000001,,,80.4089225613235
4.03,,,79.4599647465343
4.04,,,78.3382118504182
4.05,,,77.3630081151087
4.06,,,76.0763564816611
4.07,,,75.0103640800667
4.08,,,73.9246861381134
4.09,,,72.9404099858696
4.1,84.1633771932241,84.5474158161916,70.3427691660792
4.11,,,71.9614733098646
4.12,,,69.4782733901251
4.13,,,68.1178090866402
4.14,,,67.0920161723459
4.15,,,65.7134200441472
4.16,,,64.6557800633134
4.17,,,63.1876495413489
4.18,,,62.2155609332068
4.19,,,60.9098405146971
4.2,67.376842203055,67.4749712507015,58.4951349621633
4.21,,,60.0415819017621
4.22,,,57.6002362409146
4.23,,,56.5761326084125
4.24,,,55.3966328948963
4.25,,,54.4672395263091
4.26,,,53.2615407713843
4.27,,,52.44207439686
4.27999999999999,,,51.4054395813278
4.28999999999999,,,50.5510614889869
4.29999999999999,47.4976203297393,47.1960646955281,49.2511081444067
4.30999999999999,,,48.8780568456657
4.31999999999999,,,47.71518482339
