"Time [ms]","InducedVoltage(PMI_2) [kV]","InducedVoltage(PMI_1) [kV]"
31.0999999999999,-0.602562817802856,-0.600918405223364
31.1999999999999,-0.807208438434431,-0.80618527957086
31.2999999999999,-0.571840644671994,-0.570843570121301
31.3999999999999,-0.4069834794216,-0.408054638325079
31.4999999999999,-0.264133534813321,-0.261009790283115
31.5999999999999,0.541862651421552,0.541292369112638
31.6999999999999,0.537324785041824,0.537837360216502
31.7999999999999,-0.0269703092876653,-0.0273608066479084
31.8999999999999,-0.225595238832501,-0.224800718904323
31.9999999999999,-0.00910784149215944,-0.00842769003529729
32.0999999999999,0.139382280356926,0.139997522071016
32.1999999999999,-0.121437445290461,-0.123353022595364
32.2999999999999,-0.51031379934136,-0.507272304022311
32.3999999999999,-0.804631015483229,-0.803439844464856
32.4999999999999,-1.20240994819991,-1.20184535049329
32.5999999999999,-1.33817105186743,-1.33565481053057
32.6999999999999,-1.21056109450201,-1.21160401091901
32.7999999999999,-1.22956276385555,-1.22734236071283
32.8999999999999,-0.877348236740555,-0.877902006732142
32.9999999999999,-0.993742144969711,-0.992158442707953
33.0999999999999,-1.16922550263302,-1.16915271252156
33.1999999999999,-1.06729539045949,-1.06775373966322
33.2999999999999,-0.82356992416677,-0.825135582707948
33.3999999999999,-0.813246117888132,-0.81425209532083
33.4999999999999,-1.09160911071403,-1.09018426659951
33.5999999999999,-1.53964708699366,-1.53769084418467
33.6999999999999,-1.75494541036328,-1.75327204976197
33.7999999999999,-1.76859533773477,-1.76771108381313
33.8999999999999,-1.61533977021228,-1.61425257085779
33.9999999999999,-1.573838150093,-1.57317711649711
34.0999999999999,-1.58229380681182,-1.58273518949085
34.2,-1.25590287012104,-1.25511290741508
34.3,-0.751501342927337,-0.750085223124653
34.4,-0.989074532958962,-0.987067383795475
34.5,-1.30185046127512,-1.30080773031561
34.6,-1.84526593370347,-1.84524867653887
34.7,-3.00692707458082,-3.01178563833258
34.8,-5.1904369192904,-5.18998968090784
34.9,-7.43785225383559,-7.44695003881801
35,-8.25007562909466,-8.24544824579957
35.1,-7.34326522201178,-7.34890999327356
35.2,-6.07280789987306,-6.06854439522022
35.3,-4.8553460166232,-4.85837101233887
35.4,-4.00811626656177,-4.00253914588992
35.5,-3.22803487242334,-3.23181491341284
35.6,-2.62533377729564,-2.62533766880758
35.7,-2.26388606952127,-2.2665842452051
35.8,-2.0293568672406,-2.03041374868157
35.9,-1.82527523239914,-1.82174078708204
36,-1.71998104555479,-1.7213675232266
36.1,-1.6162838694543,-1.61681211059107
36.2,-1.5587471070485,-1.55885370176058
36.3,-1.53684844364638,-1.53564408915946
36.4,-1.55034465464289,-1.5489454982924
36.5,-1.58092398588184,-1.58266767509542
36.6,-1.70110878201237,-1.70093099470963
36.7,-1.79954031442195,-1.80195309093543
36.8,-1.97511240240727,-1.97206051467148
36.9,-2.31755943492896,-2.31596353429984
37,-2.76645040169526,-2.79326135116222
37.1,-3.34792642939604,-3.31994543371746
37.2,-3.99105650129982,-3.99554690120143
37.3,-4.87592330737096,-4.87001525851334
37.4,-6.02128394842268,-6.02189216188005
37.5,-7.27683702431291,-7.27481523549849
37.6000000000001,-8.21227001772637,-8.21314175332872
37.7000000000001,-7.32073324479284,-7.31882223849205
37.8000000000001,-5.01381439784213,-5.01196934336588
37.9000000000001,-2.83383764288603,-2.82246575283084
38.0000000000001,-1.65276577355428,-1.66217069166399
38.1000000000001,-1.10183001021876,-1.10016371947252
38.2000000000001,-1.25809483746892,-1.26118568475978
38.3000000000001,-1.75066820989207,-1.75123314098587
38.4000000000001,-1.61539086989639,-1.61439568910351
38.5000000000001,-1.45274888014573,-1.44785211369298
38.6000000000001,-1.41989394702779,-1.41595222292054
38.7000000000001,-1.50328350009701,-1.50157104734827
38.8000000000001,-1.6128078654552,-1.61316988456444
38.9000000000001,-1.5817940905752,-1.58635788649254
39.0000000000001,-1.32494136727159,-1.32821248251432
39.1000000000001,-0.88864195384443,-0.895871296910196
39.2000000000001,-0.601741155128259,-0.599666265536527
39.3000000000001,-0.634362260362592,-0.627841522799563
39.4000000000001,-0.840859742397673,-0.821401775620363
39.5000000000001,-1.25274094037573,-1.23277535840426
39.6000000000001,-2.10769064700519,-2.11748498633795
39.7000000000001,-1.72574103373475,-1.71709660910967
39.8000000000001,-1.04889821426613,-1.0661036159614
39.9000000000001,-0.950688877590825,-0.972003415485208
40,-1.14136207377285,-1.11983297418866
