"Time []","FFT Time []","FFT InducedVoltage(WindingStatorAX)-InducedVoltage(WindingStatorBY) []","FFT Time []","FFT InducedVoltage(WindingStatorBY)-InducedVoltage(WindingStatorCZ) []","FFT Time []","FFT InducedVoltage(WindingStatorCZ)-InducedVoltage(WindingStatorAX) []"
3800,3800,0.109485875353746,3800,0.355735178177381,3800,0.246256530188659
3850,3850,0.101853639790424,3850,0.32840973299023,3850,0.22774033241544
3900,3900,0.10843292924533,3900,0.356974345696207,3900,0.248611016267539
3950,3950,0.0523709002759279,3950,0.311019089733086,3950,0.263564734184541
4000,4000,0.110296886916031,4000,0.351515944408683,4000,0.2412199072433
4050,4050,0.215186118962455,4050,0.462573411011916,4050,0.283090522928263
4100,4100,0.111595915829377,4100,0.356646223528445,4100,0.245060643730261
4150,4150,0.116277401660073,4150,0.362704445720811,4150,0.246489885384989
4200,4200,0.111254887632992,4200,0.35615309527921,4200,0.244899006415516
4250,4250,0.117423289491979,4250,0.346988032071031,4250,0.229793492123291
4300,4300,0.110579186416966,4300,0.356286462803075,4300,0.245729509667288
4350,4350,0.102897374744071,4350,0.35257057372563,4350,0.249718514774868
4400,4400,0.110216260281851,4400,0.359007797680819,4400,0.249022215028437
4450,4450,0.140339794431804,4450,0.451923491596548,4450,0.403554000448342
4500,4500,0.111392293540815,4500,0.346471732320801,4500,0.235080254066409
4550,4550,0.188998316235147,4550,0.394930496343976,4550,0.214174129778901
4600,4600,0.109780666484927,4600,0.356805787197822,4600,0.247177909240379
4650,4650,0.121726844837631,4650,0.369612985921552,4650,0.248335585838142
4700,4700,0.110735926140721,4700,0.355744802506117,4700,0.245038629742469
4750,4750,0.12004711598804,4750,0.344102035031607,4750,0.224068576091923
4800,4800,0.11118763940975,4800,0.35553447942463,4800,0.24435510669824
4850,4850,0.121369154608777,4850,0.361131505143292,4850,0.239850083451173
4900,4900,0.111491242716667,4900,0.355569092226831,4900,0.244081786547501
4950,4950,0.144081635083402,4950,0.334639736831633,4950,0.195863584561352
5000,5000,0.110525661352916,5000,0.356051631164498,5000,0.245525969811645
