#NSGA2
popsize 126
maxGen 2
numVar 13
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 2
currentGen	1
evaluateCount	126
totalTime	747.953
firstFrontCount	1141
frontCount	16
avgEvalTime	0.0736619
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
2585	165	738	16.9292	14.373	1039	13.5378	7	484	12	65	349	5	0.138836	39448.8	0.000155698
2483	195	739	17.2343	13.7288	939	10.3682	8	480	1	65	339	5	0.147838	38103.4	0.000155778
2618	196	764	18.7854	14.371	948	13.347	7	484	17	68	337	4	0.147216	37206	0.000155786
2672	170	745	18.0252	14.3708	992	13.553	10	481	7	72	344	6	0.135094	39378.1	0.000155791
2564	170	759	17.45	14.2904	985	14.8228	10	471	17	77	350	5	0.135657	39144.6	0.000155838
2595	173	760	17.2252	14.2876	1025	11.6754	9	468	15	64	342	6	0.140819	39008.9	0.000155848
2684	171	742	18.0443	14.3084	1024	14.0616	9	487	12	72	334	5	0.135482	38936.3	0.000155875
2672	170	742	18.0252	14.3708	992	13.553	10	481	7	69	344	6	0.13459	39416.4	0.000155875
2564	170	764	16.5971	14.2904	984	14.8228	10	468	17	77	345	5	0.139576	39061.6	0.000155895
2616	169	744	18.9536	14.2857	979	14.1147	7	472	7	64	339	6	0.127037	39235	0.000155902
2668	173	749	18.3155	14.4423	965	11.9896	9	467	16	77	339	6	0.13615	39127.9	0.000155914
2616	196	764	18.7854	14.371	948	14.0555	7	483	18	68	337	4	0.146621	37031.2	0.000155944
2616	169	744	18.9536	14.2857	979	14.1147	7	476	10	64	339	6	0.127181	39250.4	0.000155989
2483	191	748	17.3698	13.8533	943	16.0306	8	467	6	58	341	5	0.148727	38721.5	0.000156037
2540	160	749	16.4921	14.4478	1049	14.5663	7	472	8	72	335	5	0.139524	39287.7	0.000156062
2547	174	752	17.2682	14.3899	1043	10.8674	8	473	18	75	335	6	0.138592	38924.7	0.00015609
2628	169	743	18.9536	14.2857	980	14.753	7	474	6	74	348	6	0.127274	39361.6	0.000156096
2604	173	744	18.9536	14.2857	1035	14.753	6	472	7	74	348	6	0.127541	39261.2	0.000156123
2570	161	759	17.0044	14.4251	964	14.7086	7	484	17	73	345	5	0.138071	39010.7	0.000156147
2564	170	764	17.0287	14.2904	984	14.5618	10	468	16	77	345	5	0.139003	39104.6	0.000156162
2618	173	744	18.9536	14.2857	977	14.988	6	473	14	74	348	5	0.128971	39045.5	0.000156208
2517	198	740	19.1278	13.9898	972	15.0528	7	469	8	75	338	5	0.14114	38582.7	0.000156418
2517	198	740	19.1278	13.9898	972	15.0528	7	469	8	75	338	5	0.14114	38582.7	0.000156418
2517	198	740	19.1278	13.9898	972	15.0528	7	469	8	75	338	5	0.14114	38582.7	0.000156418
2638	177	742	19.1754	14.2561	962	13.8	6	470	16	78	343	4	0.141202	38662.4	0.000156437
2634	177	742	19.1754	14.2561	962	13.832	6	470	14	78	343	4	0.141202	38771.7	0.000156528
2564	170	754	17.45	14.2904	984	14.8228	10	468	17	77	345	5	0.132746	39093.5	0.000156704
2495	196	741	18.9298	14.3874	965	10.131	8	486	4	78	348	5	0.138646	38241.1	0.000156776
2495	196	739	18.9298	14.3874	965	10.131	8	486	4	63	348	5	0.136831	38202.3	0.000156906
2569	176	764	18.865	14.2904	988	14.8228	10	468	17	78	345	5	0.1384	38974.1	0.000157007
2564	187	754	18.3667	14.2904	984	14.8228	10	468	12	77	345	5	0.146724	38386.1	0.000157127
2564	173	754	18.552	14.2904	984	14.8228	10	468	18	77	345	5	0.130818	39025.1	0.00015723
2549	166	745	17.1063	14.1651	953	15.3102	7	483	19	61	347	5	0.136416	39236.2	0.000157251
2534	174	757	17.5021	14.2625	982	12.9564	7	472	0	61	344	6	0.133088	39208.1	0.00015726
2489	187	763	17.7355	14.1777	938	13.9954	7	476	11	71	342	5	0.146167	38670.4	0.000157354



#Generation 2 / 2
currentGen	2
evaluateCount	126
totalTime	747.953
firstFrontCount	1141
frontCount	16
avgEvalTime	0.0736619
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
2638	178	748	16.866	13.4977	966	16.5916	9	468	7	76	334	5	0.152532	39311.1	0.000151248
2534	188	750	15.8618	13.4146	1023	15.6903	10	470	8	66	333	4	0.152055	38891.5	0.000151473
2534	188	750	15.8618	13.4146	1023	15.6903	10	471	8	66	333	4	0.152055	38902.5	0.000151494
2541	195	744	17.1489	13.301	1047	13.4691	8	477	10	66	332	4	0.151127	38992.1	0.000151754
2527	195	762	17.7021	13.3667	1050	13.6304	9	488	14	76	333	5	0.151372	39069	0.000152133
2520	188	750	15.7683	13.4146	965	15.6903	10	471	8	66	333	4	0.151239	39002	0.000152335
2534	188	750	17.4268	13.4146	1016	15.6903	10	473	8	66	334	4	0.14748	39155.3	0.000152363
2638	198	740	17.943	13.6963	966	12.3057	10	465	15	70	341	5	0.151997	37843.1	0.000152497
2547	186	752	17.2682	13.4234	1043	10.8674	8	473	18	74	335	6	0.150529	38953.5	0.000152734
2547	186	752	17.2682	13.4234	1043	10.8674	8	473	17	75	335	6	0.150529	38984.1	0.000152734
2489	189	762	17.1867	13.5725	1003	16.2198	7	484	4	73	347	5	0.151322	38772.4	0.000152785
2556	188	729	15.8618	13.4146	1023	15.2794	10	471	8	66	333	4	0.149577	39113.8	0.00015281
2557	179	741	16.595	13.6336	1006	16.4092	7	469	7	60	349	4	0.147672	39343.8	0.000152821
2603	184	740	16.3201	13.8544	1001	17	10	487	8	67	350	5	0.150096	39481.5	0.000152856
2547	186	752	17.1073	13.4782	1041	10.8674	8	474	5	75	335	6	0.15001	39008.6	0.000152871
2551	188	736	16.4738	13.5411	979	11.9024	8	484	1	75	335	5	0.149506	38797.5	0.0001531
2551	188	736	16.4738	13.5411	979	12.2694	8	483	1	75	335	5	0.149506	38797.5	0.0001531
2551	188	736	16.4738	13.5411	979	11.9024	8	482	1	75	335	5	0.149438	38806.5	0.00015313
2541	187	736	17.0843	13.6325	993	15.6208	7	477	0	66	337	5	0.147622	39085.6	0.000153156
2657	187	747	16.4872	13.7561	995	13.1253	10	469	1	68	333	5	0.153009	38532.2	0.000153205
2657	187	747	16.4872	13.7561	995	13.1253	10	469	1	68	333	5	0.153009	38532.2	0.000153205
2603	187	737	16.3201	13.8544	1006	14.3955	10	487	8	67	349	5	0.150728	38733	0.000153266
2696	191	775	18.879	13.9623	1025	16.277	6	467	9	62	338	6	0.153256	38620.8	0.000153286
2696	191	775	18.9713	13.9623	1025	16.277	6	467	19	62	338	6	0.152674	38520.4	0.000153316
2533	194	736	17.0843	13.6325	993	15.6208	7	477	0	66	337	5	0.152153	38076.9	0.000153319
2551	188	736	17.0258	13.5411	979	11.9024	8	484	1	68	335	5	0.148308	39116.4	0.000153341
2555	192	739	18.0375	13.4145	1048	14.8917	7	472	18	61	338	5	0.152197	38884.4	0.000153354
2691	176	755	18.0443	13.9668	1008	10.6659	9	471	13	79	335	5	0.151693	39245.4	0.000153368
2489	196	763	17.7355	13.4525	938	13.9954	7	478	11	71	343	5	0.148527	39041.4	0.000153676
2698	171	758	17.1156	14.1856	1025	11.3874	6	482	11	68	342	4	0.145312	39120.4	0.000153706
2634	191	748	18.7729	13.9287	1021	10.0316	9	488	19	75	333	6	0.145339	38760.9	0.000153725
2489	196	763	17.7355	13.4525	938	13.9954	7	476	11	71	343	5	0.148627	39041.4	0.000153726
2489	196	763	17.7355	13.5894	938	11.513	7	476	11	71	343	5	0.148627	39076.2	0.000153771
2620	194	729	18.9149	13.5077	999	12.7036	7	475	10	70	337	4	0.143013	39373.8	0.000153775
2698	171	755	17.1156	14.1856	1025	11.3874	6	482	11	68	342	4	0.143792	39142	0.000153778
2586	187	737	17.6327	13.8257	1006	16.8053	7	474	3	68	342	4	0.150164	39031.2	0.000153851
2540	191	739	18.0375	13.8661	1036	15.9437	9	473	19	61	338	5	0.149019	38520	0.000153934
2612	195	759	18.9136	13.4414	939	10.9988	7	466	10	73	345	4	0.147352	38922.5	0.000154056
2582	194	732	17.5269	13.8013	1032	16.363	6	473	12	72	335	5	0.152365	38018.7	0.000154094
2519	197	749	18.0414	13.7873	1050	12.4948	8	473	12	65	345	6	0.149906	38495.4	0.000154145
2540	198	773	18.3194	13.8938	1003	11.8857	8	466	6	63	347	5	0.151997	38421.2	0.000154281
2590	195	758	18.9136	13.4414	939	10.9988	7	466	10	73	345	4	0.14648	39160.8	0.000154342
2489	196	747	17.7355	13.4525	937	13.9954	7	479	11	71	343	5	0.148217	39146	0.000154374
2509	196	774	18.5158	13.7885	995	11.7643	10	470	5	80	342	5	0.152872	38634.1	0.000154426
2555	194	739	18.0375	13.8661	1048	14.8693	9	472	18	61	343	5	0.152661	37883.3	0.000154498
2555	194	739	18.0375	13.8661	1048	14.8917	9	472	18	61	338	5	0.152906	37810.2	0.000154511
2690	186	753	17.6483	14.4377	1049	13.7439	10	481	11	77	335	5	0.152381	38238.7	0.000154526
2512	196	769	18.5158	13.7885	986	11.7154	9	470	6	67	343	5	0.151475	38744.6	0.000154583
2568	168	762	16.4795	14.317	1038	16.6211	5	484	2	79	348	6	0.14565	39478.2	0.000154696
2568	168	762	16.4795	14.317	1038	16.6211	5	485	2	79	348	6	0.145874	39479.2	0.000154701
2625	201	741	19.0586	13.9893	969	16.2129	10	483	6	61	332	4	0.15153	37765	0.000154767
2690	186	749	17.6483	14.4377	1049	13.7439	10	481	11	77	335	5	0.151491	38222.7	0.000154787
2568	173	771	15.7738	14.1867	1040	14.5319	7	474	9	65	345	4	0.150782	38888.4	0.000154979
2568	173	771	15.7738	14.1867	1040	14.5319	7	474	9	65	345	4	0.150782	38888.4	0.000154979
2512	196	763	18.5158	13.7885	964	11.7643	10	470	5	57	342	5	0.151717	39007	0.000155025
2580	172	760	14.8705	14.3195	994	14.8807	8	480	15	59	346	5	0.150029	38835.7	0.000155138
2514	198	740	18.9576	13.8135	966	15.8607	7	469	8	75	339	5	0.141213	38813.2	0.00015514
2684	171	751	18.0443	14.3084	1024	14.0616	9	487	12	72	334	5	0.135998	38936.6	0.000155156
2564	170	764	16.5971	14.2904	972	15.6196	10	467	17	77	345	5	0.139973	39009.9	0.000155208
2483	199	738	17.2343	13.9473	1000	10.3682	8	480	1	65	339	5	0.152797	37743.8	0.000155226
2532	172	762	16.4795	14.317	1038	16.6211	5	484	2	79	348	6	0.143567	38903.4	0.000155227
2545	164	758	15.9545	14.4476	1035	14.8076	6	475	3	64	332	4	0.145921	39301	0.000155284
2610	201	741	19.0586	13.9893	969	16.1585	10	483	6	61	332	4	0.150789	37777.9	0.000155314
2545	164	758	15.9545	14.4476	1035	14.8076	6	475	3	62	332	4	0.145921	39296.5	0.000155328
2634	169	750	18.9536	14.2857	985	14.7713	7	472	7	64	339	6	0.127821	39133.8	0.000155395
2532	198	740	19.1278	13.8135	969	14.461	7	469	8	75	336	5	0.140642	38633	0.000155401
2512	196	763	17.5874	13.7885	962	11.7643	10	468	14	57	342	5	0.151672	38221.4	0.000155411
