#NSGA2
popsize 1000
maxGen 30
numVar 13
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 30
currentGen	1
evaluateCount	1000
totalTime	169121
firstFrontCount	271
frontCount	5
avgEvalTime	2244.59
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
11178	361	3044	22.449	29.2297	1767	16.3101	6	522	3	66	55	3	1.03054e+06	6.12895e-05	0.2573	
10194	393	2995	24.0491	23.4735	1816	15.3562	8	505	6	62	39	5	1.28291e+06	5.19049e-05	0.2658	
10921	344	3002	15.2572	21.6771	1730	15.1824	8	530	9	71	25	4	1.28291e+06	5.19049e-05	0.2658	
11293	371	3021	17.6591	22.5603	1763	14.9448	9	530	17	63	67	4	1.14399e+06	5.26316e-05	0.2838	
10019	311	3042	18.1198	23.2998	1759	18.4694	7	527	3	56	19	3	1.23248e+06	6.20887e-05	0.1116	
11209	361	3009	21.9459	29.1561	1759	15.6644	6	528	17	66	67	5	1.0376e+06	6.16941e-05	0.2136	
10837	381	3050	19.8681	24.5115	1817	18.9156	9	526	17	75	35	4	1.09106e+06	5.69184e-05	0.2525	
10751	368	3040	16.9416	23.7221	1856	18.6787	6	526	16	65	29	5	1.19268e+06	5.52273e-05	0.2157	
11272	321	3042	16.8296	20.6783	1772	14.8297	7	517	15	58	18	3	1.22099e+06	4.85531e-05	0.4286	
10535	400	3023	17.6796	23.5397	1740	15.9352	9	530	15	78	16	5	1.16289e+06	5.70939e-05	0.2093	
10111	311	3042	17.9084	27.8305	1757	18.4694	7	527	0	56	19	5	1.22047e+06	6.50449e-05	0.1192	
11198	355	2950	20.7829	22.809	1846	16.0814	8	524	20	85	42	4	1.07837e+06	5.43095e-05	0.3382	
10921	344	3002	15.2572	21.6771	1730	15.1824	7	530	9	71	20	4	1.28334e+06	5.16662e-05	0.2743	
