#NSGA2
popsize 150
maxGen 2
numVar 13
numObj 3
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 2
currentGen	1
evaluateCount	150
totalTime	747.953
firstFrontCount	1141
frontCount	16
avgEvalTime	0.0736619
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
2628	193	759	18.8171	13.9373	947	13.6061	8	470	19	74	339	6	0	0	0
2696	172	761	17.4877	14.194	1019	13.7771	10	478	11	77	347	6	0	0	0
2696	172	761	17.4877	14.194	1019	13.7771	10	478	11	77	347	6	0	0	0
2700	174	757	19.0663	14.4503	1004	16.1831	7	474	20	70	339	5	0	0	0
2700	192	772	19.2699	14.3869	962	16.7921	10	472	15	74	342	6	0	0	0
2700	192	772	19.2699	14.3869	962	16.7921	10	472	15	74	342	6	0	0	0
2622	198	743	18.8011	13.8456	974	15.1413	7	478	17	72	343	5	0	0	0
2696	172	761	17.4877	14.194	1019	13.7771	10	478	11	77	344	6	0	0	0
2696	172	761	17.4877	14.194	1019	13.7771	10	478	11	77	344	6	0	0	0
2594	196	737	16.8159	13.7801	1001	10.8566	10	476	19	79	335	5	0	0	0
2698	172	750	18.7938	14.4503	1004	16.1831	7	474	20	70	339	5	0	0	0
2698	172	750	18.7938	14.4503	1004	16.1831	7	474	20	70	339	5	0	0	0
2622	198	743	18.8011	13.8456	974	15.1413	7	478	17	72	332	5	0	0	0
2698	172	761	18.7938	14.4503	1004	14.4894	7	474	18	72	339	5	0	0	0
2696	172	761	17.4877	14.194	1019	13.0203	10	480	11	78	344	6	0	0	0
2700	192	770	19.2699	14.3869	962	13.8435	10	472	15	74	341	6	0	0	0
2696	172	761	17.4877	14.194	1019	13.3558	10	471	11	77	344	6	0	0	0
2619	197	737	18.9491	13.8343	1015	14.1407	7	489	19	65	332	4	0	0	0
2690	198	769	19.2699	14.3869	962	16.7921	10	473	15	74	341	6	0	0	0
2698	172	755	18.7938	14.4503	999	13.8475	7	485	20	70	338	5	0	0	0
2696	193	769	18.7689	14.3869	962	16.7921	10	471	17	77	341	6	0	0	0
2696	193	769	18.7689	14.3869	962	16.7921	10	471	17	77	341	6	0	0	0
2542	192	748	16.8159	13.7302	1000	10.8566	10	476	18	79	335	4	0	0	0
2650	174	768	17.4877	14.1852	1004	16.4838	8	468	15	77	332	6	0	0	0
2690	193	769	19.2699	14.3869	962	16.7921	10	471	15	76	341	6	0	0	0
2690	192	772	19.2699	14.3869	962	16.7921	10	473	15	74	341	6	0	0	0
2690	192	775	19.2699	14.3869	962	16.8949	10	471	15	74	343	6	0	0	0
2679	174	767	17.4877	14.3091	1004	16.6709	8	468	15	77	335	6	0	0	0
2571	197	750	17.6762	13.8652	945	16.4282	9	488	11	67	332	6	0	0	0
2513	198	755	17.3995	13.8147	982	14.7142	10	476	4	76	332	5	0	0	0
2690	192	772	19.2699	14.3869	962	16.7921	10	471	15	74	341	6	0	0	0
2690	192	772	19.2699	14.3869	962	17	10	471	15	74	343	6	0	0	0
2690	192	772	19.2699	14.3869	962	17	10	471	15	74	343	6	0	0	0
2577	172	763	17.1236	14.3392	1035	16.2337	10	486	11	77	349	6	0	0	0
2571	197	750	17.6762	13.8652	945	16.4282	9	488	11	72	332	6	0	0	0
2571	197	750	17.6762	13.8652	945	16.4282	9	488	11	72	332	6	0	0	0
2638	161	767	19.2594	14.2597	1016	16.8374	9	487	15	64	337	5	0	0	0
2688	174	746	19.0799	14.4044	1037	15.798	8	466	11	64	332	5	0	0	0
2577	172	771	17.4877	14.3392	1035	16.1535	9	486	11	77	345	6	0	0	0
2696	172	766	19.1811	14.3392	956	15.1836	10	487	11	78	344	6	0	0	0
2696	172	766	19.1717	14.3392	956	15.1836	10	487	11	78	344	6	0	0	0
2640	174	769	19.2248	14.2711	1008	15.8204	7	475	9	67	347	5	0	0	0
2605	198	743	18.8011	13.8456	974	15.1413	7	479	17	76	343	5	0	0	0
2686	192	772	19.2699	14.3869	966	16.7921	10	482	15	74	341	6	0	0	0
2577	172	769	17.4877	14.3392	1035	16.2337	10	486	11	77	345	6	0	0	0
2577	172	766	17.4877	14.1852	1035	15.9994	8	486	15	77	345	6	0	0	0
2577	172	766	17.4877	14.1852	1035	15.9994	8	486	15	77	345	6	0	0	0
2577	172	766	17.4877	14.1852	1035	15.5904	8	486	15	77	345	6	0	0	0
2653	172	771	19.0937	14.4362	1040	14.5852	9	488	8	77	343	4	0	0	0
2689	192	758	18.9496	14.4584	978	13.7798	8	466	10	68	336	5	0	0	0
2619	198	759	19.2755	14.4594	1040	12.7848	9	485	19	73	346	4	0	0	0
2619	197	759	19.2755	14.4594	1040	12.7848	8	489	19	73	346	4	0	0	0
2640	171	756	19.2248	14.3745	1008	15.6626	10	475	9	61	347	5	0	0	0
2679	174	767	18.9918	14.2612	1017	16.6709	8	478	15	77	336	6	0	0	0
2690	198	754	18.8011	14.3084	992	16.3493	10	482	17	73	343	4	0	0	0
2589	174	767	17.4877	14.1852	1004	15.9589	8	468	17	77	332	6	0	0	0
2589	174	767	17.4877	14.1852	985	15.8513	8	470	17	77	335	6	0	0	0
2653	163	750	19.1835	14.298	977	15.3623	10	470	17	64	341	6	0	0	0
2653	163	750	19.1835	14.298	1001	15.3623	10	470	19	64	341	6	0	0	0
2653	163	750	19.1835	14.298	1004	15.3623	10	470	19	64	342	6	0	0	0
2577	172	743	17.1236	14.3392	1035	16.2337	10	484	8	77	349	6	0	0	0

#Generation 2 / 2
currentGen	2
evaluateCount	150
totalTime	747.953
firstFrontCount	1141
frontCount	16
avgEvalTime	0.0736619
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	
2648	188	755	17.4039	13.1203	972	13.8549	10	467	2	73	338	5	0	0	0
2486	193	752	15.0999	13.2508	1044	15.9265	8	480	18	61	340	5	0	0	0
2486	195	750	15.0304	13.2508	1050	12.6	8	480	8	60	342	5	0	0	0
2486	193	756	15.0999	13.2508	1044	11.4365	6	472	11	60	344	5	0	0	0
2486	193	756	15.0999	13.2508	1044	11.4365	6	472	14	60	344	5	0	0	0
2486	193	750	15.0999	13.2508	1044	12.3909	8	481	13	60	342	5	0	0	0
2486	193	750	15.0999	13.2508	1044	12.3909	8	481	12	60	342	5	0	0	0
2486	193	750	15.0999	13.2508	1044	12.3909	8	481	12	60	342	5	0	0	0
2486	193	750	15.0999	13.2508	1044	12.1447	8	481	12	60	342	5	0	0	0
2486	193	752	15.0999	13.2508	1044	10.9882	6	472	12	60	344	5	0	0	0
2486	193	750	15.0999	13.2508	1044	12.1447	9	481	12	60	342	5	0	0	0
2486	193	752	15.0999	13.2508	1044	12.3909	8	472	12	60	340	5	0	0	0
2486	193	752	15.0999	13.2508	1044	12.3909	8	472	12	60	340	5	0	0	0
2486	193	752	15.0999	13.2508	1044	12.3692	8	472	12	60	340	5	0	0	0
2486	193	752	15.0999	13.2508	1044	10.9882	6	472	10	59	345	5	0	0	0
2486	193	752	15.0999	13.2508	963	10.9882	6	473	12	60	344	5	0	0	0
2493	188	761	15.0708	13.5885	1019	14.3269	9	486	7	76	333	6	0	0	0
2486	193	752	15.0999	13.2508	1044	12.3909	8	472	10	60	340	5	0	0	0
2493	188	760	15.0708	13.5885	1019	14.3269	9	486	7	69	333	6	0	0	0
2493	188	760	15.0708	13.5885	1019	14.3269	9	486	7	69	333	6	0	0	0
2493	188	760	15.0708	13.5885	1019	14.3269	10	486	7	76	333	6	0	0	0
2486	193	752	15.3009	13.2508	1041	12.0628	8	472	9	60	340	5	0	0	0
2643	194	765	19.2303	13.2639	1014	14.1709	5	478	15	65	350	5	0	0	0
2644	194	765	19.2303	13.2639	1014	14.1709	5	479	16	65	349	5	0	0	0
2486	195	750	15.5159	13.2508	1050	12.6	8	480	8	60	342	5	0	0	0
2658	196	757	18.9118	13.3398	992	13.1421	10	481	19	68	349	5	0	0	0
2643	195	739	17.8216	13.3177	1041	13.036	6	485	10	80	342	5	0	0	0
2546	187	753	17.5663	13.3546	1020	15.8366	7	476	7	76	332	6	0	0	0
2486	195	750	15.5159	13.2508	989	12.6	8	480	8	60	342	5	0	0	0
2649	194	766	18.7621	13.6743	1029	16.4496	9	481	8	63	340	5	0	0	0
2547	187	753	17.0904	13.3546	1017	15.8366	7	476	4	74	332	6	0	0	0
2693	190	755	18.7131	13.4578	994	14.026	7	487	6	66	333	4	0	0	0
2693	190	755	18.7131	13.4578	994	14.026	7	487	6	66	333	4	0	0	0
2690	193	766	19.1919	13.5491	962	13.4578	10	471	15	75	341	5	0	0	0
2492	195	750	15.4016	13.6536	1011	15.999	10	474	4	68	333	5	0	0	0
2492	195	750	15.4016	13.6536	1011	15.999	10	474	4	68	333	5	0	0	0
2687	197	755	18.8175	13.6316	978	14.1051	8	475	16	79	339	4	0	0	0
2486	195	750	15.7552	13.2508	989	12.6	8	480	8	60	342	5	0	0	0
