"Distance []","FFT Distance*$Poles/(3.14159265358979*($DiaGap-$AirGap)*2*60)*1s []","FFT Flux_Lines [] - Time='0.0166666666666667s'"
11280.0153281387,11280.0153281387,1.05134294241633E-07
11340.0154096714,11340.0154096714,9.25953241594313E-08
11400.0154912041,11400.0154912041,1.66395569709247E-07
11460.0155727367,11460.0155727367,1.97812403609623E-07
11520.0156542694,11520.0156542694,3.44647115954656E-08
11580.015735802,11580.015735802,2.19239787988854E-07
11640.0158173347,11640.0158173347,3.36713918521587E-07
11700.0158988673,11700.0158988673,3.30308843076144E-07
11760.0159804,11760.0159804,2.50613253834004E-07
11820.0160619326,11820.0160619326,3.9847268812234E-07
11880.0161434653,11880.0161434653,2.02994743187549E-07
11940.0162249979,11940.0162249979,1.11039052334584E-07
12000.0163065306,12000.0163065306,8.16542176388155E-08
12060.0163880632,12060.0163880632,3.60470191583797E-07
12120.0164695959,12120.0164695959,1.08476654039314E-07
12180.0165511285,12180.0165511285,4.98289706502237E-07
12240.0166326612,12240.0166326612,2.61696076164148E-07
12300.0167141938,12300.0167141938,3.56628651908584E-07
12360.0167957265,12360.0167957265,1.52316989450801E-07
12420.0168772592,12420.0168772592,1.6587482884594E-07
12480.0169587918,12480.0169587918,2.70799743465006E-08
12540.0170403245,12540.0170403245,1.5029560176148E-07
12600.0171218571,12600.0171218571,3.13898332854588E-07
12660.0172033898,12660.0172033898,2.59340194158798E-07
12720.0172849224,12720.0172849224,1.45039866591294E-07
12780.0173664551,12780.0173664551,1.43252816122657E-07
12840.0174479877,12840.0174479877,2.05915362703098E-07
12900.0175295204,12900.0175295204,7.19896900358838E-08
12960.017611053,12960.017611053,3.34909824242606E-07
13020.0176925857,13020.0176925857,1.82425263873672E-07
13080.0177741183,13080.0177741183,2.6394331571161E-07
13140.017855651,13140.017855651,7.48386704492266E-08
13200.0179371836,13200.0179371836,7.74463314079332E-08
13260.0180187163,13260.0180187163,1.78078358743986E-07
13320.0181002489,13320.0181002489,2.14437195720302E-07
13380.0181817816,13380.0181817816,6.35474571583479E-08
13440.0182633143,13440.0182633143,3.90956047360836E-08
13500.0183448469,13500.0183448469,4.25628888081119E-08
13560.0184263796,13560.0184263796,3.99053375882492E-07
13620.0185079122,13620.0185079122,3.79496681603009E-07
13680.0185894449,13680.0185894449,1.4315469196009E-07
13740.0186709775,13740.0186709775,2.14330121510246E-07
13800.0187525102,13800.0187525102,5.14894604415368E-08
13860.0188340428,13860.0188340428,7.75762096028741E-09
13920.0189155755,13920.0189155755,3.27063412194081E-08
13980.0189971081,13980.0189971081,1.58193380371876E-07
14040.0190786408,14040.0190786408,3.2338525924566E-07
14100.0191601734,14100.0191601734,2.43548722016705E-07
14160.0192417061,14160.0192417061,1.88134226990271E-07
14220.0193232387,14220.0193232387,2.57109875029448E-07
14280.0194047714,14280.0194047714,1.54230266195519E-08
14340.019486304,14340.019486304,1.423223704333E-07
14400.0195678367,14400.0195678367,1.68004175105985E-07
14460.0196493694,14460.0196493694,7.93707528806677E-08
14520.019730902,14520.019730902,3.46215199592975E-07
14580.0198124347,14580.0198124347,2.39121709256665E-07
14640.0198939673,14640.0198939673,2.00583607513267E-07
14700.0199755,14700.0199755,3.17964604641406E-07
14760.0200570326,14760.0200570326,1.62027805015938E-07
14820.0201385653,14820.0201385653,1.41299367878923E-07
14880.0202200979,14880.0202200979,1.61532721873283E-07
14940.0203016306,14940.0203016306,7.53234276278458E-08
15000.0203831632,15000.0203831632,8.622236607465E-08
15060.0204646959,15060.0204646959,1.11651318621306E-07
15120.0205462285,15120.0205462285,1.80277405450632E-07
15180.0206277612,15180.0206277612,4.14575273880483E-08
15240.0207092938,15240.0207092938,1.99517430111942E-07
15300.0207908265,15300.0207908265,8.10329467373651E-08
15360.0208723591,15360.0208723591,1.32845388503365E-07
15420.0209538918,15420.0209538918,1.97634070965799E-07
15480.0210354245,15480.0210354245,7.17901327738405E-08
15540.0211169571,15540.0211169571,1.48648762162037E-08
15600.0211984898,15600.0211984898,4.74134409119106E-08
15660.0212800224,15660.0212800224,1.2253163382965E-07
15720.0213615551,15720.0213615551,8.41579689719918E-08
15780.0214430877,15780.0214430877,2.33224794784166E-07
15840.0215246204,15840.0215246204,1.70313747756663E-07
15900.021606153,15900.021606153,1.76641451415122E-07
15960.0216876857,15960.0216876857,3.40507551672239E-07
16020.0217692183,16020.0217692183,3.73488547473574E-09
16080.021850751,16080.021850751,3.03167579942204E-07
16140.0219322836,16140.0219322836,1.79747243965733E-07
16200.0220138163,16200.0220138163,1.80853372818349E-07
16260.0220953489,16260.0220953489,1.44699614409389E-07
16320.0221768816,16320.0221768816,2.0502176607443E-07
16380.0222584142,16380.0222584142,3.34404584122266E-08
16440.0223399469,16440.0223399469,4.94043294254065E-09
16500.0224214796,16500.0224214796,3.44812759101269E-08
16560.0225030122,16560.0225030122,1.16525401533736E-07
16620.0225845449,16620.0225845449,6.21867306858303E-08
16680.0226660775,16680.0226660775,3.32105459129869E-08
16740.0227476102,16740.0227476102,6.75152792473333E-08
16800.0228291428,16800.0228291428,9.032879569576E-08
16860.0229106755,16860.0229106755,1.10109759353154E-07
16920.0229922081,16920.0229922081,4.10527320896329E-08
16980.0230737408,16980.0230737408,5.31109447225375E-08
17040.0231552734,17040.0231552734,1.18790211629186E-08
17100.0232368061,17100.0232368061,9.4380243708265E-08
17160.0233183387,17160.0233183387,3.1401119082135E-08
17220.0233998714,17220.0233998714,4.9320150936995E-08
17280.023481404,17280.023481404,3.85397807351512E-08
17340.0235629367,17340.0235629367,3.08759181505421E-08
17400.0236444693,17400.0236444693,1.19777951553809E-07
17460.023726002,17460.023726002,1.23630925723606E-07
17520.0238075347,17520.0238075347,2.01871627961049E-07
17580.0238890673,17580.0238890673,1.59822311719577E-07
17640.0239706,17640.0239706,1.81515381624864E-07
17700.0240521326,17700.0240521326,1.53251987482576E-08
17760.0241336653,17760.0241336653,1.1743625264427E-07
17820.0242151979,17820.0242151979,2.37221719309344E-08
17880.0242967306,17880.0242967306,2.33610473326969E-08
17940.0243782632,17940.0243782632,6.31712896667925E-08
18000.0244597959,18000.0244597959,5.99783338961532E-08
18060.0245413285,18060.0245413285,1.39397670198312E-07
18120.0246228612,18120.0246228612,5.61102181660444E-08
18180.0247043938,18180.0247043938,1.02801191104975E-07
18240.0247859265,18240.0247859265,9.4974570549587E-08
18300.0248674591,18300.0248674591,1.23129841163094E-07
18360.0249489918,18360.0249489918,1.56390278091457E-08
18420.0250305244,18420.0250305244,7.25466587095516E-08
18480.0251120571,18480.0251120571,2.07710265202227E-07
18540.0251935898,18540.0251935898,2.68757088389471E-08
18600.0252751224,18600.0252751224,1.3622495058393E-07
